Code;FacNom;FacAdr;FacSuiteAdr;FacCp;FacVille;Expr1006;FacInterloc;LivNom;LivCivilite;LivAdr;LivSuiteAdr;LivCp;LivVille;FacTel;LivPortable;LivInterloc
31600;COUMAU XAVIER;129 RUE STEHELIN;MAISON PARTICULIERE;33200;BORDEAUX;05 57 93 15 40;COUMAU XAVIER;XAVIER COUMAU SARL;;129 RUE STEHELIN;MAISON PARTICULIERE;33200;BORDEAUX;05 57 93 15 40;;COUMAU XAVIER
31610;COURTY AGNES;AVOCAT A LA COUR;111 RUE DE KATER;33000;BORDEAUX;05 56 81 26 02;MME COURTY AGNES;COURTY AGNES;;AVOCAT A LA COUR;111 RUE DE KATER;33000;BORDEAUX;05 56 81 26 02;;COURTY AGNES
31620;COUTOT ROEHRIG;22 RUE VITAL CARLES;;33000;BORDEAUX;05 56 81 13 09;LE CALVE VALERIE;COUTOT ROEHRIG;;22 RUE VITAL CARLES;;33000;BORDEAUX;05 56 81 13 09;;COUTOT ROEHRIG
31630;CAISSE PRIMAIRE D'ASSURANCE;MALADIE DE LA GIRONDE;POLE LOGISTIQUE-ORDONNANCEMENT;33085;BORDEAUX CEDEX;05 56 01 64 06;MR POIRRIER;CAISSE PRIMAIRE D ASSURANCE;;MALADIE DE LA GIRONDE;POLE LOGISTIQUE-ORDONNANCEMENT;33085;BORDEAUX;05 56 01 64 06;;M.
31650;H CUVELIER & FILS;72 - 76  RUE REIGNIER BP 97;;33016;BORDEAUX CEDEX;05 57 77 11 50;M.;ETABLISSEMENT H  CUVELIER & FI;;72 - 76  RUE REIGNIER BP 97;;33016;BORDEAUX CEDEX;05 57 77 11 50;;MR RIOLS PHILIPPE
31660;MAITRE DACHARRY;AVOCAT A LA COUR;11 RUE BOUDET;33000;BORDEAUX;05 56 00 78 08;JEAN FRANCOIS DACHARRY;MAITRE DACHARRY;;11 RUE BOUDET;11 RUE BOUDET;33000;BORDEAUX;05 56 00 78 08;;MAITRE DACHARRY
31670;IMPRIMERIE DALBOS;18 RUE GEORGES BONNAC;;33000;BORDEAUX;05 56 81 31 91;M.;IMPRIMERIE DALBOS;;18 RUE GEORGES BONNAC;;33000;BORDEAUX;05 56 81 31 91;;IMPRIMERIE DALBOS
31690;GROUPE MEDICAL DE BACALAN;98 BLD ALBERT BRANDENBURG;;33300;BORDEAUX;05 56 50 84 24;CHRISTINE;GROUPE MEDICAL DE BACALAN;;98 BLD ALBERT BRANDENBURG;;33300;BORDEAUX;05 56 50 84 24;;S C M  DRS DEBELMAS - LE HEN
31720;GROUPE DELIS;8 RUE D ALZON;;33000;BORDEAUX;05 56 96 97 33;KARINE DESSILLOL;GROUPE DELIS;;8 RUE D ALZON;;33000;BORDEAUX;05 56 96 97 33;;GROUPE DELIS
31740;DESCUDET & CIE;SOCIETE DE COURTAGE D ASSURANC;6/8 RUE VAUBAN B P 80058;33024;BORDEAUX CEDEX;05 56 00 69 10;M.;DESCUDET & CIE;;6/8 RUE VAUBAN;6/8 RUE VAUBAN B P 80058;33000;BORDEAUX;05 56 00 69 10;;DESCUDET & CIE
31750;RADIO SPORT;36 COURS MARC NOUAUX;;33000;BORDEAUX;05 56 51 37 12;M.;RADIO SPORT;;36 COURS MARC NOUAUX;;33000;BORDEAUX;05 56 51 37 12;;RADIO SPORT
31800;GROUPE DUCLOT;3 - 21 RUE DE MACAU;;33082;BORDEAUX CEDEX;05 56 50 25 62;Loic LE ROLLAND;GROUPE DUCLOT  ( FB );;21 RUE DE MACAU;;33082;BORDEAUX CEDEX;05 56 50 25 62;;GROUPE DUCLOT
31820;SCP JOLY - CUTURI;AVOCATS A LA COUR;27 RUE BOUDET;33000;BORDEAUX;05 57 14 46 40;MARIE;SCP JOLY - CUTURI;;AVOCAT A LA COUR;27 RUE BOUDET;33000;BORDEAUX;05 57 14 46 40;;MAITRE JOLY
31830;L ENCADR'HEURE S,N,S;20 PLACE GAMBETTA;;33000;BORDEAUX;05 56 51 08 01;M.;S N S L'ENCADR'HEURE;;20 PLACE GAMBETTA;;33000;BORDEAUX;05 56 51 08 01;;S N S L NCADR HEURE
31840;AGENCE LOCALE DE L ENERGIE;30 COURS PASTEUR;;33000;BORDEAUX;05 56 00 60 27;M.;AGENCE LOCALE DE L ENERGIE;;30 COURS PASTEUR;;33000;BORDEAUX;05 56 00 60 27;;AGENCE LOCALE DE L ENERGIE
31870;EXEME;70 RUE ABBE DE L'EPEE;;33000;BORDEAUX;05 56 00 82 32;M.;EXEME;;70 RUE ABBE DE L'EPEE;;33000;BORDEAUX;05 56 00 82 32;;EXEME
31880;EXEME ACTION;70 RUE ABBE DE L'EPEE;;33000;BORDEAUX;05 56 00 82 32;M.;EXEME ACTION;;70 RUE ABBE DE L'EPEE;;33000;BORDEAUX;05 56 00 82 32;;EXEME ACTION
